Name,Description,List,Labels,Points,Sprint Day,Type
Product Goal,"Build a secure, cloud-deployed leadership portal for a new safehouse nonprofit that helps staff manage resident care, helps administrators track operations and donations, and helps donors understand anonymized impact through reporting, analytics, and machine learning insights.",Goals,Product Goal,0,All,Goal
Monday Sprint Goal,"Understand the problem, users, and data well enough to create a complete backlog, clear priorities, and a realistic build plan for the week.",Goals,Monday,0,Monday,Goal
Tuesday Sprint Goal,"Choose the final design direction and build the public-facing, authentication, and security foundations of the application.",Goals,Tuesday,0,Tuesday,Goal
Wednesday Sprint Goal,"Deliver and deploy a working end-to-end slice of the application with real database persistence and core portal functionality.",Goals,Wednesday,0,Wednesday,Goal
Thursday Sprint Goal,"Complete advanced case-management, analytics, ML, security, accessibility, and responsiveness work so the project is ready for final demo and submission.",Goals,Thursday,0,Thursday,Goal
PB1 - Define Team Roles and Working Agreement,"Assign the Scrum Master and Product Owner, agree on team norms, decide branch workflow expectations, and clarify who owns each major workstream.",Product Backlog,Monday,1,Monday,Backlog
PB2 - Create Personas and Journey Map,"Build two realistic primary personas, document their goals and pain points, and map their journey so design and feature decisions stay tied to user needs.",Product Backlog,Monday,3,Monday,Backlog
PB3 - Write Problem Statement and Product Goal,"Define the core customer problem, the desired business outcome, and the product goal that will guide backlog prioritization.",Product Backlog,Monday,1,Monday,Backlog
PB4 - Build MoSCoW Prioritization,"Convert requirements into Must, Should, Could, and Won't categories, add team-generated nice-to-have ideas, and document one feature intentionally not built.",Product Backlog,Monday,2,Monday,Backlog
PB5 - Set Up Product Backlog and Sprint Boards,"Create the master backlog in Trello, estimate work, assign ownership, and split work into Monday, Tuesday, Wednesday, and Thursday sprint backlogs.",Product Backlog,Monday,3,Monday,Backlog
PB6 - Create Burndown Chart and Daily Tracking,"Set up a burndown chart and update it throughout the week so the team can monitor progress and adjust priorities.",Product Backlog,Monday,2,Monday,Backlog
PB7 - Produce Key Wireframes,"Design wireframes for the three most important screens in desktop view to establish the layout and feature priorities before implementation.",Product Backlog,Monday,3,Monday,Backlog
PB8 - Explore and Choose UI Direction,"Generate multiple AI-assisted UI concepts, evaluate them, document feedback, choose a final direction, and record the changes made from the original concepts.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB9 - Define Branding and Product Naming Direction,"Choose or defer the organization name, align visual tone and messaging, and ensure placeholder branding stays consistent until final branding is selected.",Product Backlog,Monday,1,Monday,Backlog
PB10 - Profile the Raw CSV Dataset,"Inspect the 17 source CSV files, understand table relationships, identify missing values and inconsistencies, and document which fields and tables will actually be used.",Product Backlog,Monday,3,Monday,Backlog
PB11 - Design the Relational Database Model,"Decide how the provided CSV structure maps into the app database, including keys, relationships, normalization choices, and any additional fields or tables needed.",Product Backlog,Monday,3,Monday,Backlog
PB12 - Build Data Import and Seeding Strategy,"Create the approach for loading raw data into the database, including seed and demo data, environment-specific setup, and a repeatable process for local and deployed environments.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB13 - Implement Data Pipeline for Source Data Preparation,"Clean, transform, and prepare the operational, donor, and outreach data so it can support the application and ML workflows reliably.",Product Backlog,Tuesday,5,Tuesday,Backlog
PB14 - Build Backend Project Configuration,"Configure the ASP.NET Core API, database connection, environment variables, dependency setup, and application startup behavior.",Product Backlog,Tuesday,2,Tuesday,Backlog
PB15 - Implement Authentication and Password Policy,"Configure ASP.NET Identity login with the class-required password policy, lockout behavior, JWT token handling, and secure authentication flow.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB16 - Implement Role-Based Access Control,"Enforce authorization so Admin can create, update, and delete data, Employee has restricted access, and Donor only sees donor-appropriate data.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB17 - Build User and Seed Account Setup,"Create seeded Admin, Employee, and Donor accounts for testing and grading, and make sure roles are correctly assigned and demonstrated.",Product Backlog,Tuesday,2,Tuesday,Backlog
