Name,Description,List
Product Goal,"Build a secure, cloud-deployed leadership portal for a new safehouse nonprofit that helps staff manage resident care, helps administrators track operations and donations, and helps donors understand anonymized impact through reporting, analytics, and machine learning insights.",Goals
Monday Sprint Goal,"Understand the problem, users, and data well enough to create a complete backlog, clear priorities, and a realistic build plan for the week.",Goals
Tuesday Sprint Goal,"Choose the final design direction and build the public-facing, authentication, and security foundations of the application.",Goals
Wednesday Sprint Goal,"Deliver and deploy a working end-to-end slice of the application with real database persistence and core portal functionality.",Goals
Thursday Sprint Goal,"Complete advanced case-management, analytics, ML, security, accessibility, and responsiveness work so the project is ready for final demo and submission.",Goals
PB1 - Define Team Roles and Working Agreement,"Point estimate: 1. Assign the Scrum Master and Product Owner, agree on team norms, decide branch workflow expectations, and clarify who owns each major workstream.",Product Backlog
PB2 - Create Personas and Journey Map,"Point estimate: 3. Build two realistic primary personas, document their goals and pain points, and map their journey so design and feature decisions stay tied to user needs.",Product Backlog
PB3 - Write Problem Statement and Product Goal,"Point estimate: 1. Define the core customer problem, the desired business outcome, and the product goal that will guide backlog prioritization.",Product Backlog
PB4 - Build MoSCoW Prioritization,"Point estimate: 2. Convert requirements into Must, Should, Could, and Won't categories, add team-generated nice-to-have ideas, and document one feature intentionally not built.",Product Backlog
PB5 - Set Up Product Backlog and Sprint Boards,"Point estimate: 3. Create the master backlog in Trello, estimate work, assign ownership, and split work into Monday, Tuesday, Wednesday, and Thursday sprint backlogs.",Product Backlog
PB6 - Create Burndown Chart and Daily Tracking,"Point estimate: 2. Set up a burndown chart and update it throughout the week so the team can monitor progress and adjust priorities.",Product Backlog
PB7 - Produce Key Wireframes,"Point estimate: 3. Design wireframes for the three most important screens in desktop view to establish the layout and feature priorities before implementation.",Product Backlog
PB8 - Explore and Choose UI Direction,"Point estimate: 3. Generate multiple AI-assisted UI concepts, evaluate them, document feedback, choose a final direction, and record the changes made from the original concepts.",Product Backlog
PB9 - Define Branding and Product Naming Direction,"Point estimate: 1. Choose or defer the organization name, align visual tone and messaging, and ensure placeholder branding stays consistent until final branding is selected.",Product Backlog
PB10 - Profile the Raw CSV Dataset,"Point estimate: 3. Inspect the 17 source CSV files, understand table relationships, identify missing values and inconsistencies, and document which fields and tables will actually be used.",Product Backlog
PB11 - Design the Relational Database Model,"Point estimate: 3. Decide how the provided CSV structure maps into the app database, including keys, relationships, normalization choices, and any additional fields or tables needed.",Product Backlog
PB12 - Build Data Import and Seeding Strategy,"Point estimate: 3. Create the approach for loading raw data into the database, including seed and demo data, environment-specific setup, and a repeatable process for local and deployed environments.",Product Backlog
PB13 - Implement Data Pipeline for Source Data Preparation,"Point estimate: 5. Clean, transform, and prepare the operational, donor, and outreach data so it can support the application and ML workflows reliably.",Product Backlog
